repeat_id,algorithm_name,search_mode,job_id,gpu_need,combo,predicted_standalone_bw,predicted_final_bw,real_standalone_bw,real_final_bw,real_contention_ratio,real_cluster_throughput,num_active_jobs
9,Default,model_prediction,2,2,"[0,0,2,0]",205.96,205.96,204.92,204.92,1.0,654.54,3
9,Default,model_prediction,3,2,"[0,2,0,0]",205.92,205.92,204.92,204.92,1.0,859.4599999999999,4
9,Default,model_prediction,4,2,"[2,0,0,0]",205.97,205.97,204.92,204.92,1.0,1064.3799999999999,5
9,Default,model_prediction,5,10,"[0,1,1,8]",234.8,234.8,39.33,39.33,1.0,1103.7099999999998,6
9,Default,model_prediction,6,10,"[2,5,3,0]",71.55406188964844,10.978014626094545,69.94,38.42315548640981,0.549373112473689,1124.4099999999999,7
10,Default,model_prediction,0,6,"[6,0,0,0]",230.16,230.16,232.24,232.24,1.0,232.24,1
10,Default,model_prediction,1,10,"[0,2,8,0]",81.05328369140625,81.05328369140625,75.11,75.11,1.0,307.35,2
10,Default,model_prediction,2,4,"[0,4,0,0]",242.6,242.6,244.7,244.7,1.0,552.05,3
10,Default,model_prediction,3,10,"[1,1,0,8]",234.8,30.24268588649585,39.33,12.733104683677036,0.3237504369101713,513.99,4
10,Default,model_prediction,4,2,"[1,1,0,0]",41.80534744262695,5.290207648546378,38.47,14.720291020861945,0.38264338499771106,528.710291020862,5
11,Default,model_prediction,0,4,"[0,0,0,4]",242.7,242.7,244.7,244.7,1.0,244.7,1
11,Default,model_prediction,1,6,"[0,6,0,0]",228.45,228.45,232.24,232.24,1.0,476.94,2
11,Default,model_prediction,2,10,"[8,0,2,0]",79.74005889892578,79.74005889892578,75.11,75.11,1.0,552.05,3
11,Default,model_prediction,3,12,"[0,2,6,4]",77.51206970214844,24.51351638523339,71.92,28.620276134122285,0.3979459974154934,535.45,4
12,Default,model_prediction,0,14,"[0,3,8,3]",84.99295806884766,84.99295806884766,71.94,71.94,1.0,71.94,1
12,Default,model_prediction,1,12,"[8,3,0,1]",40.4859619140625,25.984912153320032,40.94,31.056805457122607,0.7585931963146705,85.63,2
12,Default,model_prediction,2,6,"[0,2,0,4]",74.3612289428711,35.7054268201437,71.27,39.696790116752645,0.5569915829486831,102.57,3
13,Default,model_prediction,0,4,"[0,0,0,4]",242.9,242.9,244.7,244.7,1.0,244.7,1
13,Default,model_prediction,1,12,"[2,1,8,1]",40.46803665161133,40.46803665161133,38.74,38.74,1.0,283.44,2
13,Default,model_prediction,2,2,"[0,2,0,0]",205.92,205.92,204.92,204.92,1.0,488.36,3
