test_num,repeat,algo,result,bw
27,28,upper_BandDisp,[0 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],99.18
27,28,Max_bw,"[8, 7, 6, 6]",99.18
27,29,myalgo,[1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 0],69.35
27,29,upper_BandDisp,[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 1 1 1 1 0 1 1],99.18
27,29,Max_bw,"[8, 7, 6, 6]",99.18
27,30,myalgo,[1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 0],69.35
27,30,upper_BandDisp,[0 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],99.18
27,30,Max_bw,"[8, 7, 6, 6]",99.18
27,32,myalgo,[1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 0 1],69.35
27,32,upper_BandDisp,[0 1 1 1 0 1 1 1 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],99.18
27,32,Max_bw,"[8, 7, 6, 6]",99.18
27,33,myalgo,[1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 0],69.35
27,33,upper_BandDisp,[0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1],99.18
27,33,Max_bw,"[8, 7, 6, 6]",99.18
27,34,myalgo,[1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0],69.35
27,34,upper_BandDisp,[0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1],99.18
27,34,Max_bw,"[8, 7, 6, 6]",99.18
27,35,myalgo,[1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 0 1],69.35
27,35,upper_BandDisp,[0 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],99.18
27,35,Max_bw,"[8, 7, 6, 6]",99.18
27,36,myalgo,[1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 0 1 1],69.35
27,36,upper_BandDisp,[0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1],99.18
27,36,Max_bw,"[8, 7, 6, 6]",99.18
27,38,myalgo,[1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0],69.35
27,38,upper_BandDisp,[0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1],99.18
27,38,Max_bw,"[8, 7, 6, 6]",99.18
27,40,myalgo,[1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 0 1],69.35
27,40,upper_BandDisp,[0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1],99.18
27,40,Max_bw,"[8, 7, 6, 6]",99.18
27,45,myalgo,[1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 0],69.35
27,45,upper_BandDisp,[0 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],99.18
